zanzan,title,singer
zanzan,Sinatra,Forrest Nolan
zanzan,Someone New,Laufey
zanzan,House of Glass,Jon Caryl
zanzan,Dear Moon,moon tang
zanzan,Paul,Cavetown
zanzan,Susie May,beabadoobee
zanzan,All Because of You (Acoustic Version),Stephen Day
zanzan,Same Boat,Lizzy McAlpine
zanzan,Paris,New West
zanzan,"Zanesville, Ohio",Andy Leon
zanzan,Last Time,Adam Melchor
zanzan,"With Love, Eugene",Sofia Mills
zanzan,Two Weeks,Juul
zanzan,Optimistic,Cehryl
zanzan,you.,Oscar Lang
zanzan,can i sleep in ur bed,Elliot Lee
zanzan,As the World Caves In (Acoustic),Matt Maltese
zanzan,i leave early,Maria Kelly
zanzan,Toothpaste Kisses,The Maccabees
zanzan,Funny How I Knew,Tobacco Stan
zanzan,I got you,ellene
zanzan,Second to None,Colin Caulfield
zanzan,Cotton Candy,spill tab
zanzan,The Girl Who Fell in Love with the Sun,dozen districts
zanzan,Luv Note,chloe moriondo
zanzan,Comedown,Joesef
zanzan,Fly Me to the Moon,Olivia O
zanzan,Forgot My Mantra,The Saxophones
zanzan,Lonely,"George Moir, Blossom Caldarone"
zanzan,Tap Twice,Katy Kirby
zanzan,I Just Want You to Feel at Home,The Smallest One
zanzan,reflet,Oscar Anton
zanzan,Moon Song (lo fi lounge),Arlo Parks
zanzan,Lovers Do,The Brummies
zanzan,You Wrote 'Don't Forget' On Your Arm,Flatsound
zanzan,"From Me, the Moon",LAV
zanzan,Words,Gregory Alan Isakov
